                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.9297,                 1.9989,                 1.7928,                0.22089,                    0.2,                0.13102,                0.04747,                 2.3019,                 3.7544,                 2.0131,              0.0014852,              0.0014852,              0.0014852
                     54,                 2.0304,                 2.1384,                 1.9059,                0.34987,                0.35556,                0.26937,                0.11203,                 2.2711,                  2.483,                 2.0577,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.9648,                 2.0465,                 1.8211,                0.40223,                0.46667,                0.28562,                0.12522,                 2.2208,                  2.594,                 2.0094,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.9778,                 2.0785,                 1.8626,                0.34505,                0.26934,                0.22823,                0.09798,                 2.4692,                 3.1104,                 2.2209,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.9424,                 2.0112,                 1.7962,                0.49043,                    0.4,                0.35231,                0.13478,                 2.2317,                 2.9663,                 1.9756,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.9625,                 2.0315,                 1.8335,                0.07386,                0.15556,                0.06476,                0.02779,                 2.3718,                 3.1066,                  2.134,              0.0014357,              0.0014357,              0.0014357
                     59,                  1.983,                 2.0186,                 1.8288,                0.28781,                    0.4,                 0.2181,                0.09504,                 2.4146,                 2.6756,                 2.2014,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.9573,                   2.02,                 1.8336,                0.32004,                0.37778,                0.24786,                0.10033,                 2.3557,                 2.8774,                 2.1064,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.9591,                 1.9762,                    1.8,                0.40266,                0.44444,                0.30184,                 0.1284,                 2.3415,                 2.9322,                 2.1267,               0.001406,               0.001406,               0.001406
                     62,                 1.8948,                 1.9992,                 1.7732,                0.37988,                0.44444,                0.25647,                0.09686,                 2.4679,                 2.7574,                 2.2702,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.8756,                 1.9862,                 1.8286,                0.32392,                0.51111,                0.28779,                0.11817,                 2.2413,                 2.7616,                 2.0429,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.8778,                 2.0132,                 1.7966,                0.38605,                0.37778,                0.28186,                0.09675,                 2.3337,                 2.8866,                 2.0853,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.9717,                 2.1209,                 1.9055,                0.42125,                0.42057,                 0.2759,                0.11945,                 2.2515,                 2.5579,                 1.9647,              0.0013664,              0.0013664,              0.0013664
                     66,                  1.843,                 2.0068,                 1.7755,                0.36432,                0.33333,                0.26748,                0.11452,                 2.2103,                  2.463,                 2.0555,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.8533,                 1.9468,                 1.7582,                0.29682,                0.37778,                0.27523,                0.10974,                 2.3721,                 3.0016,                   2.26,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.9166,                 2.0295,                 1.7681,                0.44086,                0.35556,                0.31085,                0.13504,                 2.2481,                 2.3823,                 2.1785,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.8834,                 2.0187,                 1.7861,                 0.3214,                0.48889,                0.29717,                0.14148,                 2.1406,                 3.4947,                 2.0433,              0.0013268,              0.0013268,              0.0013268
                     70,                  1.863,                  2.173,                 1.7584,                0.49503,                0.42222,                0.37505,                0.16462,                  2.167,                 2.6278,                 1.9842,              0.0013169,              0.0013169,              0.0013169
                     71,                  1.963,                 2.0589,                 1.8343,                0.50881,                0.44444,                0.41115,                0.17293,                   2.27,                 2.4645,                 1.9945,               0.001307,               0.001307,               0.001307
                     72,                 1.8514,                 1.9382,                 1.7016,                0.42781,                0.37778,                0.29528,                0.14128,                 2.1917,                 2.7514,                 2.0615,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.7208,                 1.9303,                 1.6709,                0.40426,                0.35556,                0.33267,                0.13038,                 2.1372,                 2.6224,                 2.0343,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.8442,                 1.8862,                  1.734,                0.49319,                0.41102,                 0.3333,                0.11724,                 2.3114,                 2.9398,                 2.1662,              0.0012773,              0.0012773,              0.0012773
