                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                 1.2721,                0.91195,                 1.3187,                0.40858,                0.48052,                0.40098,                0.19222,                 1.9887,                 1.8129,                 2.1763,              0.0008516,              0.0008516,              0.0008516
                    118,                 1.2762,                0.90478,                 1.3189,                0.40858,                0.48052,                0.40098,                0.19222,                 1.9887,                 1.8129,                 2.1763,              0.0008417,              0.0008417,              0.0008417
                    119,                 1.2608,                0.94372,                 1.3738,                0.42609,                0.53247,                0.43962,                0.20257,                 2.0292,                 1.7406,                 2.2486,              0.0008318,              0.0008318,              0.0008318
                    120,                 1.1461,                0.79534,                 1.2165,                0.51238,                0.54545,                0.44571,                0.21033,                 2.0203,                 1.7209,                 2.2558,              0.0008219,              0.0008219,              0.0008219
                    121,                 1.1191,                0.82458,                 1.2463,                0.51301,                0.45455,                0.45052,                0.21067,                  2.072,                 1.7283,                 2.2843,               0.000812,               0.000812,               0.000812
                    122,                 1.1798,                0.94628,                  1.338,                0.50823,                0.48052,                0.44209,                 0.2044,                 2.0887,                 1.8372,                 2.2441,              0.0008021,              0.0008021,              0.0008021
                    123,                 1.1584,                0.90846,                 1.2815,                0.49123,                0.45455,                 0.4399,                0.19836,                  2.074,                 1.8187,                  2.276,              0.0007922,              0.0007922,              0.0007922
                    124,                 1.1385,                0.86226,                 1.2555,                0.46372,                0.48052,                0.44607,                 0.1963,                 2.1276,                 1.7506,                 2.3173,              0.0007823,              0.0007823,              0.0007823
                    125,                 1.1185,                0.81513,                 1.2511,                0.46412,                0.49351,                0.44294,                0.19676,                 2.1399,                 1.7622,                 2.3277,              0.0007724,              0.0007724,              0.0007724
                    126,                 1.1498,                0.95824,                 1.2852,                0.46412,                0.49351,                0.44294,                0.19676,                 2.1399,                 1.7622,                 2.3277,              0.0007625,              0.0007625,              0.0007625
                    127,                 1.1589,                0.80995,                 1.2402,                0.50256,                0.49351,                0.44611,                0.20693,                 2.1082,                  1.789,                 2.3166,              0.0007526,              0.0007526,              0.0007526
                    128,                  1.071,                0.81077,                 1.2453,                0.49095,                 0.5261,                0.46624,                0.22922,                 2.0339,                 1.6452,                 2.2717,              0.0007427,              0.0007427,              0.0007427
                    129,                 1.0537,                0.79319,                 1.1715,                0.56831,                0.49351,                0.49435,                0.25064,                 1.9049,                 1.5326,                 2.1879,              0.0007328,              0.0007328,              0.0007328
                    130,                 1.0593,                0.83221,                 1.2196,                0.53787,                0.49351,                0.48917,                0.24268,                 1.9768,                 1.5674,                 2.1938,              0.0007229,              0.0007229,              0.0007229
                    131,                 1.0654,                 0.7862,                 1.1903,                0.47798,                0.53247,                0.46317,                0.21393,                 2.0821,                 1.6767,                 2.2854,               0.000713,               0.000713,               0.000713
                    132,                 1.0876,                0.82299,                 1.2229,                0.37722,                 0.4956,                0.42349,                0.19313,                 2.0729,                 1.8894,                 2.2911,              0.0007031,              0.0007031,              0.0007031
